mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,gibbs,0.1,informed,41,binary_crossentropy,sample,linear,True,False,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,False,0.0,informed,42,binary_crossentropy,sample,linear,True,False,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,gibbs,0.1,informed,43,binary_crossentropy,sample,linear,True,False,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,False,0.0,informed,44,binary_crossentropy,sample,linear,True,False,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,gibbs,0.1,informed,45,binary_crossentropy,sample,linear,True,False,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,informed,46,binary_crossentropy,sample,linear,True,True,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,gibbs,0.1,informed,47,binary_crossentropy,sample,linear,True,True,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,False,0.0,informed,48,binary_crossentropy,sample,linear,True,True,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,20,4,gibbs,0.1,informed,49,binary_crossentropy,sample,linear,True,True,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,False,0.0,informed,50,binary_crossentropy,sample,linear,True,True,softmax,True
train,models/local_only,False,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,100,4,gibbs,0.1,informed,51,binary_crossentropy,sample,linear,True,True,softmax,True
